2016-04-12,2016-04-06,EXC,336.49,2.244,1,14993.47,4.37
2016-04-12,2016-04-01,XOM,1029.16,2.294,3,44857.24,5.54
2016-04-12,2016-04-07,CAT,389.86,2.602,1,14982.34,2.02
2016-04-12,2016-04-05,UPS,188.64,1.261,1,14964.48,2.00
2016-04-13,2016-04-12,SBUX,178.92,1.193,1,14994.00,2.52
2016-04-14,2016-04-13,MCD,73.16,0.489,1,14973.02,2.00
2016-04-15,2016-04-08,TGT,1382.28,3.075,3,44956.32,5.685
2016-04-19,2016-04-11,T,731.98,1.628,3,44960.10,11.74
2016-04-19,2016-04-14,PG,231.14,1.549,1,14925.82,2.00
2016-04-27,2016-04-19,IBM,672.88,4.493,1,14976.00,2.00
2016-04-27,2016-04-25,GE,122.00,0.815,1,14971.84,4.88
2016-04-29,2016-04-21,DUK,478.24,3.196,1,14962.64,2.00
2016-05-02,2016-04-26,MMM,194.40,1.30,1,14956.20,2.00
2016-05-03,2016-04-20,SPG,941.02,2.102,3,44765.06,3.115
2016-05-03,2016-04-28,PFE,359.45,2.40,1,14974.05,4.55
2016-05-09,2016-04-29,WMT,465.92,3.111,1,14978.88,2.24
2016-05-10,2016-04-22,MSFT,952.38,0.635,10,149913.76,29.57
2016-05-16,2016-05-09,HAL,576.63,3.851,1,14973.03,3.87
2016-05-19,2016-05-02,CSCO,901.96,2.005,3,44974.52,16.64
2016-05-20,2016-05-13,FDX,367.65,2.453,1,14987.20,2.00
2016-05-24,2016-04-27,AMGN,-4088.94,-2.73,10,149783.82,10.145
2016-05-24,2016-05-05,UPS,-23.36,-0.157,1,14912.44,2.00
2016-05-25,2016-05-16,TWX,49.20,0.328,1,14989.60,2.05
2016-05-25,2016-05-04,CAT,624.28,0.694,6,89943.08,12.48
2016-05-26,2016-05-03,UTX,326.48,0.728,3,44858.02,4.77
2016-05-27,2016-05-19,VZ,928.18,2.063,3,44984.16,9.07
2016-06-07,2016-06-03,OXY,408.00,2.726,1,14966.00,2.00
2016-06-08,2016-06-06,GOOG,234.60,1.637,1,14331.00,2.00
2016-06-08,2016-05-31,LMT,261.45,1.757,1,14882.49,2.00
2016-06-09,2016-06-01,GD,449.96,1.00,3,44983.64,3.67
2016-06-09,2016-06-07,MON,360.01,2.412,1,14928.60,2.00
2016-06-09,2016-05-20,MCD,1310.57,0.875,10,149721.13,12.69
2016-06-16,2016-06-09,CMCSA,690.79,0.768,6,89952.36,28.73
2016-06-17,2016-06-16,HAL,319.24,2.13,1,14986.93,3.47
2016-06-17,2016-06-02,ORCL,1217.30,2.709,3,44930.54,11.63
2016-06-20,2016-06-14,DD,1202.14,2.675,3,44934.51,6.83
2016-06-22,2016-06-13,QCOM,1104.89,2.459,3,44937.19,8.52
2016-06-23,2016-06-15,BLK,2291.52,5.114,3,44812.68,3.00
2016-06-28,2016-06-27,LOW,335.16,2.241,1,14958.72,2.00
2016-06-29,2016-06-17,PFE,1264.34,2.811,3,44983.87,13.21
2016-07-08,2016-06-22,FDX,2878.84,3.207,6,89759.62,6.46
2016-07-08,2016-06-24,ACN,2085.12,4.646,3,44879.76,4.41
2016-07-08,2016-06-10,FOX,-3860.85,-2.575,10,149936.85,52.17
2016-07-12,2016-06-28,DD,762.41,5.084,1,14997.25,2.39
2016-07-18,2016-07-15,AMZN,12.60,0.086,1,14708.80,2.00
2016-07-20,2016-07-18,ACN,720.73,1.606,3,44882.02,4.295
2016-07-22,2016-07-21,KO,125.40,0.836,1,14998.50,3.30
2016-08-05,2016-07-19,MRK,8280.10,9.207,6,89936.58,15.38
2016-08-11,2016-07-22,OXY,-328.26,-0.731,3,44878.26,6.01
2016-08-11,2016-07-25,GE,-337.44,-0.75,3,44988.27,14.27
2016-08-16,2016-07-26,XOM,-588.43,-3.944,1,14919.39,2.00
2016-08-16,2016-07-20,PM,546.83,0.365,10,149752.34,15.36
2016-08-23,2016-08-12,MON,262.70,1.758,1,14945.50,2.00
2016-08-25,2016-08-11,SPG,630.18,1.412,3,44635.32,3.05
2016-09-01,2016-07-27,MO,-69.20,-0.154,3,44901.52,6.76
2016-09-06,2016-08-08,EXC,-709.78,-0.789,6,89935.28,25.90
2016-09-06,2016-08-23,T,139.46,0.93,1,14991.95,3.67
2016-09-06,2016-08-16,DUK,91.14,0.609,1,14963.70,2.00
2016-09-07,2016-08-05,LLY,-1918.98,-1.281,10,149825.36,18.905
2016-09-15,2016-09-07,HON,520.22,1.159,3,44900.10,4.285
2016-09-15,2016-08-26,UNH,17.17,0.019,6,89756.65,7.075
2016-09-16,2016-08-25,ABT,516.37,0.344,10,149922.54,35.93
2016-09-21,2016-08-29,ABBV,1256.98,0.839,10,149890.82,23.58
2016-09-22,2016-09-01,TWX,1985.35,2.209,6,89858.93,11.925
2016-09-30,2016-09-26,BAC,556.64,3.711,1,14999.46,9.94
2016-10-04,2016-09-27,BK,1140.82,2.537,3,44968.58,11.47
2016-10-05,2016-09-16,MON,883.15,0.983,6,89812.07,9.07
2016-10-06,2016-10-04,GD,57.23,0.384,1,14894.35,2.00
2016-10-17,2016-10-05,PEP,118.44,0.792,1,14947.41,2.00
2016-10-17,2016-09-29,SO,1435.65,0.958,10,149874.00,29.85
2016-10-19,2016-10-17,PCLN,315.50,2.195,1,14376.50,2.00
2016-10-24,2016-10-07,KMI,2082.09,4.631,3,44963.03,21.76
2016-10-25,2016-09-30,LMT,591.48,3.98,1,14862.64,2.00
2016-10-25,2016-09-08,ORCL,-1217.43,-1.354,6,89944.11,23.13
2016-10-26,2016-10-19,PG,1500.30,3.341,3,44909.10,5.435
2016-11-07,2016-10-24,UNP,715.62,1.596,3,44840.88,5.19
2016-11-08,2016-10-06,CMCSA,-1812.02,-4.031,3,44950.82,13.80
2016-11-08,2016-10-25,CAT,231.20,0.515,3,44903.24,5.445
2016-11-10,2016-09-28,AMGN,-9557.47,-6.388,10,149608.15,9.895
2016-11-16,2016-10-26,MON,2902.54,1.938,10,149804.14,15.42
2016-11-17,2016-11-10,AAPL,1500.16,3.341,3,44898.74,4.525
2016-11-18,2016-11-11,AMZN,2107.69,4.762,3,44262.07,3.00
2016-11-21,2016-11-14,V,632.21,4.223,1,14970.58,2.00
2016-11-21,2016-11-18,MRK,104.06,0.695,1,14972.54,2.42
2016-11-30,2016-11-28,KMI,1659.03,3.69,3,44960.97,21.00
2016-12-06,2016-11-30,AMZN,268.85,1.885,1,14260.83,2.00
2016-12-07,2016-12-02,PCLN,540.40,3.669,1,14730.00,2.00
2016-12-07,2016-11-29,ALL,434.30,2.901,1,14970.45,2.15
2016-12-07,2016-11-17,CSCO,373.64,0.415,6,89955.56,30.16
2016-12-13,2016-12-01,TXN,594.27,3.963,1,14997.33,2.13
2016-12-15,2016-12-07,CELG,601.16,4.012,1,14983.78,2.00
2016-12-20,2016-12-15,EMR,300.58,2.011,1,14943.88,2.66
2016-12-23,2016-11-23,BIIB,-8055.78,-5.377,10,149808.07,6.465
2016-12-29,2016-12-08,RTN,-61.20,-0.068,6,89679.95,6.74
2017-01-03,2016-12-12,LMT,874.18,0.973,6,89810.80,4.79
2017-01-04,2016-12-27,GM,2317.45,5.153,3,44972.30,12.75
2017-01-05,2017-01-04,COST,292.95,1.972,1,14857.68,2.00
2017-01-06,2016-12-23,SBUX,2750.56,1.834,10,149957.93,26.73
2017-01-06,2016-12-20,MRK,300.32,0.669,3,44902.18,7.50
2017-01-11,2017-01-03,UNP,882.52,1.966,3,44892.01,4.66
2017-01-11,2016-12-28,DOW,521.28,1.159,3,44979.78,7.81
2017-01-12,2016-12-29,DD,358.74,0.799,3,44922.47,6.11
2017-01-18,2017-01-05,TWX,867.26,0.965,6,89867.68,9.755
2017-01-18,2017-01-10,UPS,412.39,0.919,3,44881.85,4.285
2017-01-23,2017-01-09,T,1466.22,3.262,3,44943.78,11.05
2017-01-24,2017-01-06,CVX,76.58,0.171,3,44842.24,4.22
2017-01-24,2017-01-13,UTX,189.04,1.261,1,14989.92,2.00
2017-01-25,2017-01-23,GM,666.67,4.447,1,14989.85,4.09
2017-01-25,2017-01-18,UNH,332.50,2.219,1,14985.30,2.00
2017-01-26,2017-01-17,GS,919.04,2.05,3,44840.74,3.00
2017-01-31,2017-01-20,CELG,464.17,3.098,1,14983.78,2.00
2017-02-03,2017-01-25,LMT,204.14,1.378,1,14809.00,2.00
2017-02-03,2017-01-12,C,-178.77,-0.398,3,44942.77,7.75
2017-02-03,2017-01-19,BK,1506.62,3.353,3,44939.77,10.17
2017-02-03,2017-01-26,RTN,414.96,2.792,1,14861.60,2.00
2017-02-08,2017-01-24,MMM,440.63,0.982,3,44889.29,3.28
2017-02-10,2017-01-11,VZ,-4062.30,-2.71,10,149875.76,29.77
2017-02-10,2017-02-03,CAT,1595.92,3.553,3,44921.81,5.03
2017-02-13,2017-01-31,CVX,343.04,2.299,1,14920.90,2.00
2017-02-15,2017-02-08,MON,202.94,1.36,1,14920.26,2.00
2017-02-16,2017-02-09,INTC,1309.21,2.911,3,44967.90,12.71
2017-02-16,2017-02-10,TXN,216.91,1.45,1,14956.84,2.00
2017-02-17,2017-02-13,T,306.27,2.042,1,14999.85,3.69
2017-02-22,2017-02-21,DD,508.28,3.395,1,14972.92,2.00
