Year, Days, Profit%, MaxDD, Date of maxDD
2010,20,4.209,6.638,2010-12-28
2011,252,215.976,15.70,2011-07-27
2012,250,119.941,22.62,2012-04-10
2013,252,5.047,22.582,2013-06-27
2014,252,11.416,24.711,2014-12-31
2015,252,51.115,25.486,2015-12-18
2016,252,155.944,26.794,2016-01-22
2017,251,85.827,16.818,2017-12-07
2018,32,20.738,10.588,2018-01-16
