Year, Days, Profit%, MaxDD, Date of maxDD
2008,99,219.933,17.324,2008-11-28
2009,252,86.303,18.383,2009-03-17
2010,252,215.206,18.868,2010-05-05
2011,252,111.493,31.369,2011-11-25
2012,250,158.559,22.455,2012-04-10
2013,252,17.744,14.391,2013-07-05
2014,252,21.206,19.303,2014-12-31
2015,252,19.792,30.912,2015-12-18
2016,252,116.771,33.21,2016-01-22
2017,192,77.908,17.649,2017-05-17
