Year, Days, Profit%, MaxDD, Date of maxDD
2008,99,221.167,17.568,2008-11-28
2009,252,134.489,12.211,2009-01-14
2010,252,218.645,18.868,2010-05-05
2011,252,108.015,28.658,2011-11-25
2012,250,152.006,22.455,2012-04-10
2013,252,7.10,21.046,2013-06-27
2014,252,9.748,26.442,2014-12-31
2015,252,15.62,30.333,2015-12-18
2016,252,145.997,31.516,2016-01-22
2017,192,79.90,17.649,2017-05-17
