,Orig,,,,SL10,SL15
2013-12-09,588432.543067,0.274,XIV - 1.00,,495803.817174,540748.322148
2013-12-10,585092.723067,-0.568,XIV - 1.00,,492989.727174,537679.252148
2013-12-11,557669.483067,-4.687,XIV - 0.55,,469883.007174,512479.012148
2013-12-12,556315.263067,-0.243,GLD - 1.00,,468742.007174,511234.552148
2013-12-13,561389.194447,0.912,GLD - 1.00,,473018.061482,515897.555036
2013-12-16,562832.267722,0.257,GLD - 1.00,,474233.901092,517223.756426
2013-12-17,557991.067722,-0.86,GLD - 1.00,,470155.021092,512774.636426
2013-12-18,553149.863067,-0.868,None - 0.00,,466076.13717,508325.512148
2013-12-19,553149.863067,0,XIV - 1.00,,466076.13717,508325.512148
2013-12-20,549026.363067,-0.745,XIV - 1.00,,462601.63717,504536.262148
2013-12-23,568655.413067,3.575,XIV - 1.00,,479141.44717,522575.472148
2013-12-24,580033.513067,2.001,XIV - 1.00,,488728.30717,533031.042148
2013-12-26,589100.813067,1.563,XIV - 1.00,,496368.35717,541363.542148
2013-12-27,582012.693067,-1.203,XIV - 1.00,,490396.08717,534849.902148
2013-12-30,571626.513067,-1.785,XIV - 1.00,,481644.75717,525305.402148
2013-12-31,572615.853067,0.173,XIV - 1.00,,482478.33717,526214.582148
2014-01-02,561733.773067,-1.9,XIV - 0.55,,473308.95717,516214.262148
2014-01-03,563547.773067,0.323,XIV - 0.20,,474837.35717,517881.262148
2014-01-06,564962.043067,0.251,XIV - 0.55,,476028.88717,519181.152148
2014-01-07,571946.943067,1.236,XIV - 0.55,,481913.98717,525599.772148
2014-01-08,571415.103067,-0.093,XIV - 0.55,,481465.84717,525111.012148
2014-01-09,570439.293067,-0.171,XIV - 0.55,,480643.59717,524214.292148
2014-01-10,577635.333067,1.261,XIV - 1.00,,486706.44717,530827.132148
2014-01-13,557331.843067,-3.515,XIV - 1.00,,469599.54717,512169.562148
2014-01-14,580041.903067,4.075,None - 0.00,,488734.04717,533039.302148
2014-01-15,580041.903067,0,XIV - 0.55,,488734.04717,533039.302148
2014-01-16,578100.623067,-0.335,XIV - 0.55,,487098.34717,531255.322148
2014-01-17,577746.663067,-0.061,XIV - 0.55,,486800.10717,530930.042148
2014-01-21,581553.883067,0.659,XIV - 0.55,,490007.90717,534428.522148
2014-01-22,586308.583067,0.818,XIV - 0.55,,494014.16717,538798.202148
2014-01-23,577912.423067,-1.432,XIV - 0.55,,486939.92717,531082.682148
2014-01-24,549491.083067,-4.918,GLD - 1.00,,462993.32717,504966.122148
2014-01-27,543575.234171,-1.077,GLD - 1.00,,458008.479674,499530.403974
2014-01-28,543530.745275,-0.008,GLD - 1.00,,457970.992178,499489.515798
2014-01-29,550291.723067,1.244,GLD - 1.00,,463667.96717,505703.29215
2014-01-30,538282.105275,-2.182,GLD - 1.00,,453548.352178,494668.375802
2014-01-31,539705.780826,0.264,GLD - 1.00,,454747.70843,495976.531714
2014-02-03,545178.068622,1.014,GLD - 1.00,,459357.763422,501004.788066
2014-02-04,543710.219726,-0.269,GLD - 1.00,,458120.915926,499655.73989
2014-02-05,545044.63307,0.245,GLD - 1.00,,459245.32717,500882.152154
2014-02-06,544822.219726,-0.041,GLD - 1.00,,459057.915926,500677.73989
2014-02-07,548958.859726,0.759,GLD - 1.00,,462543.555926,504479.57989
2014-02-10,552294.859726,0.608,GLD - 1.00,,465354.555926,507545.57989
2014-02-11,558699.99307,1.16,GLD - 1.00,,470750.247167,513430.872151
2014-02-12,559011.278623,0.056,GLD - 1.00,,471012.53342,513716.958064
2014-02-13,563725.089729,0.843,GLD - 1.00,,474984.345926,518049.16989
2014-02-14,571107.127517,1.31,GLD - 1.00,,481204.380914,524831.946234
2014-02-18,572218.627517,0.195,GLD - 1.00,,482140.880914,525853.446234
2014-02-19,567194.625287,-0.878,GLD - 1.00,,477907.882184,521236.245804
2014-02-20,573109.139734,1.043,GLD - 1.00,,482890.06593,526670.62989
2014-02-21,573020.237518,-0.016,GLD - 1.00,,482815.160914,526588.926234
2014-02-24,579289.110856,1.094,GLD - 1.00,,488097.032152,532350.198492
2014-02-25,580267.239748,0.169,GLD - 1.00,,488921.159644,533248.906662
2014-02-26,575377.713078,-0.843,GLD - 1.00,,484800.537168,528755.382152
2014-02-27,575777.835294,0.07,GLD - 1.00,,485137.662184,529123.105808
2014-02-28,573199.18197,-0.448,GLD - 1.00,,482965.00466,526753.250324
2014-03-03,585069.95751,2.071,GLD - 1.00,,492966.7872,537662.829464
2014-03-04,577913.50751,-1.223,GLD - 1.00,,486937.3372,531085.979464
2014-03-05,578847.194186,0.162,GLD - 1.00,,487724.019676,531943.853974
2014-03-06,584538.06974,0.983,GLD - 1.00,,492518.89593,537172.649889
2014-03-07,579737.46085,-0.821,GLD - 1.00,,488474.28844,532760.841719
2014-03-10,579915.340864,0.031,GLD - 1.00,,488624.162154,532924.278484
2014-03-11,583160.90308,0.56,GLD - 1.00,,491358.72717,535906.312144
2014-03-12,591606.37641,1.448,GLD - 1.00,,498474.2047,543667.787634
2014-03-13,593606.67975,0.338,GLD - 1.00,,500159.49964,545505.636642
2014-03-14,597561.835306,0.666,GLD - 1.00,,503492.545895,549140.392558
2014-03-17,591073.564198,-1.086,GLD - 1.00,,498026.279687,543177.72397
2014-03-18,586539.646418,-0.767,GLD - 1.00,,494206.364707,539012.027634
2014-03-19,575293.800863,-1.917,GLD - 1.00,,484731.518452,528676.981719
2014-03-20,574271.243093,-0.178,GLD - 1.00,,483869.957182,527737.222149
2014-03-21,576983.303093,0.472,GLD - 1.00,,486155.017182,530229.682149
2014-03-24,566801.958647,-1.765,GLD - 1.00,,477576.673436,520875.028064
2014-03-25,567824.786434999,0.18,None - 0.00,,478438.498424,521814.824408
2014-03-26,567824.786434999,0,XIV - 0.65,,478438.498424,521814.824408
2014-03-27,572219.666434999,0.774,XIV - 0.45,,482141.458424,525853.664408
2014-03-28,575333.586435,0.544,XIV - 0.45,,484765.128424,528715.244408
2014-03-31,583274.636435,1.38,XIV - 1.00,,491455.978424,536013.144408
2014-04-01,602454.986434999,3.288,XIV - 1.00,,507617.578424,553639.494408
2014-04-02,598437.566435,-0.667,XIV - 1.00,,504232.438424,549947.454408
2014-04-03,598802.826435,0.061,XIV - 1.00,,504540.198424,550283.114408
2014-04-04,586019.426435,-2.135,XIV - 1.00,,493768.598424,538535.014408
2014-04-07,572867.906435,-2.244,XIV - 1.00,,482687.078424,526449.094408
2014-04-08,583282.376435,1.818,XIV - 0.45,,491461.658424,536019.394408
2014-04-09,590187.176435,1.184,XIV - 0.45,,497279.498424,542364.754408
2014-04-10,574145.216435,-2.718,XIV - 1.00,,483762.038424,527621.674408
2014-04-11,556237.376435,-3.119,XIV - 0.45,,468673.718424,511165.354408
2014-04-14,558336.626435,0.377,GLD - 1.00,,470442.468424,513094.354408
2014-04-15,548134.346435,-1.827,None - 0.00,,461847.348424,503718.074408
2014-04-16,548134.346435,0,XIV - 0.45,,461847.348424,503718.074408
2014-04-17,551660.546435,0.643,XIV - 1.00,,464818.698424,506958.524408
2014-04-21,562372.286435,1.942,XIV - 1.00,,473844.038424,516802.264408
2014-04-22,563408.726435,0.184,XIV - 1.00,,474717.278424,517754.704408
2014-04-23,560990.506435,-0.429,XIV - 1.00,,472679.718424,515532.344408
2014-04-24,554253.646435,-1.201,XIV - 1.00,,467003.268424,509341.484408
2014-04-25,549934.646435,-0.779,XIV - 1.00,,463364.018424,505372.484408
2014-04-28,562029.246435,2.199,XIV - 1.00,,473554.618424,516487.084408
2014-04-29,572065.440434999,1.786,XIV - 1.00,,482011.073424,525709.878408
2014-04-30,571530.039434999,-0.094,XIV - 1.00,,481559.961424,525217.877408
2014-05-01,571530.039434999,0,XIV - 1.00,,481559.961424,525217.877408
2014-05-02,574120.689435,0.453,XIV - 1.00,,483742.761424,527598.527408
2014-05-05,580337.889435,1.083,XIV - 1.00,,488981.121424,533312.087408
2014-05-06,576538.929434999,-0.655,XIV - 1.00,,485780.121424,529820.907408
2014-05-07,586382.829434999,1.707,XIV - 1.00,,494074.191424,538866.807408
2014-05-08,586210.159434999,-0.029,XIV - 1.00,,493928.711424,538708.137408
2014-05-09,598469.729434999,2.091,XIV - 1.00,,504257.791424,549973.707408
2014-05-12,616250.619434999,2.971,XIV - 1.00,,519239.141424,566313.627408
2014-05-13,614697.399434999,-0.252,XIV - 1.00,,517930.451424,564886.317408
2014-05-14,617631.259434999,0.477,XIV - 1.00,,520402.591424,567582.517408
2014-05-15,611073.219434999,-1.062,XIV - 1.00,,514877.011424,561556.097408
2014-05-16,625053.009434999,2.288,XIV - 1.00,,526656.031424,574403.507408
2014-05-19,632645.649434999,1.215,XIV - 1.00,,533053.191424,581380.587408
2014-05-20,637476.489434999,0.764,XIV - 1.00,,537123.551424,585819.987408
2014-05-21,647482.649434999,1.57,XIV - 1.00,,545554.431424,595015.307408
2014-05-22,648000.119434999,0.08,XIV - 1.00,,545990.451424,595490.867408
2014-05-23,652657.349434999,0.719,XIV - 1.00,,549914.631424,599770.907408
2014-05-27,672665.029434999,3.066,XIV - 1.00,,566772.911424,618156.907408
2014-05-28,674734.189435,0.308,XIV - 1.00,,568516.271424,620058.427408
2014-05-29,677148.069435,0.358,XIV - 1.00,,570550.191424,622276.727408
2014-05-30,678355.009435,0.178,XIV - 1.00,,571567.081424,623385.877408
2014-06-02,682492.849434999,0.61,XIV - 1.00,,575053.561424,627188.437408
2014-06-03,679217.249434999,-0.48,XIV - 1.00,,572293.621424,624178.267408
2014-06-04,686458.469434999,1.066,XIV - 1.00,,578394.961424,630832.747408
2014-06-05,710593.069434999,3.516,XIV - 1.00,,598729.961424,653011.547408
2014-06-06,746437.709434999,5.044,XIV - 1.00,,628931.561424,685952.507408
2014-06-09,735930.459434999,-1.408,XIV - 1.00,,620078.631424,676296.817408
2014-06-10,748850.709434999,1.756,XIV - 1.00,,630964.881424,688170.067408
2014-06-11,732832.389434999,-2.139,XIV - 1.00,,617467.791424,673449.097408
2014-06-12,697859.549434999,-4.772,XIV - 1.00,,588000.311424,641310.137408
2014-06-13,709235.969434999,1.63,XIV - 1.00,,597585.491424,651764.537408
2014-06-16,709925.329434999,0.097,XIV - 1.00,,598166.331424,652398.057408
2014-06-17,734052.929434999,3.399,XIV - 1.00,,618495.731424,674571.257408
2014-06-18,772643.649434999,5.257,XIV - 1.00,,651011.571424,710034.937408
2014-06-19,769888.449434999,-0.357,XIV - 1.00,,648690.131424,707503.097408
2014-06-20,759212.049434999,-1.387,XIV - 1.00,,639694.551424,697691.597408
2014-06-23,778157.349434999,2.495,XIV - 1.00,,655656.651424,715101.297408
2014-06-24,749403.289434999,-3.695,XIV - 1.00,,631428.291424,688676.887408
2014-06-25,779030.289434999,3.953,XIV - 1.00,,656390.651424,715902.767408
2014-06-26,768698.889434999,-1.326,XIV - 1.00,,647685.851424,706408.967408
2014-06-27,775070.659434999,0.829,XIV - 1.00,,653054.551424,712264.217408
2014-06-30,782302.639434999,0.933,XIV - 1.00,,659148.331424,718910.297408
2014-07-01,802275.519434999,2.553,XIV - 1.00,,675976.451424,737264.977408
2014-07-02,810709.889434999,1.051,XIV - 1.00,,683083.411424,745016.287408
2014-07-03,821725.569434999,1.359,XIV - 1.00,,692364.691424,755139.167408
2014-07-07,804860.749434999,-2.052,XIV - 1.00,,678154.691424,739640.467408
2014-07-08,791778.869434999,-1.625,XIV - 1.00,,667132.411424,727618.787408
2014-07-09,807445.429434999,1.979,XIV - 0.55,,680332.871424,742015.897408
2014-07-10,791919.549434999,-1.923,XIV - 1.00,,667252.231424,727749.537408
2014-07-11,800144.549434999,1.039,XIV - 0.55,,674182.381424,735307.607408
2014-07-14,812559.509434999,1.552,XIV - 0.55,,684641.701424,746716.367408
2014-07-15,804577.829434999,-0.982,XIV - 0.55,,677916.661424,739381.487408
2014-07-16,814830.569434999,1.274,XIV - 0.55,,686554.771424,748802.837408
2014-07-17,772161.569434999,-5.237,XIV - 1.00,,645075.8906141,709594.337408
2014-07-18,828920.209434999,7.351,None - 0.00,,645075.8906141,761752.877408
2014-07-21,828920.209434999,0,XIV - 0.55,,645075.8906141,761752.877408
2014-07-22,838084.909434999,1.106,GLD - 1.00,,652208.3906141,770175.077408
2014-07-23,837293.182424999,-0.094,None - 0.00,,651592.2162891,769447.547723
2014-07-24,837293.182424999,0,XIV - 0.55,,651592.2162891,769447.547723
2014-07-25,823967.782425,-1.591,XIV - 0.55,,641222.2962891,757201.907723
2014-07-28,826423.702424999,0.298,XIV - 0.35,,643133.6562891,759458.867723
2014-07-29,826683.542424999,0.031,XIV - 0.55,,643335.8562891,759697.627723
2014-07-30,819236.082425,-0.901,XIV - 0.35,,637540.3862891,752853.877723
2014-07-31,795292.362425,-2.923,GLD - 1.00,,618907.3262891,730849.957723
2014-08-01,801608.549664999,0.794,GLD - 1.00,,623822.6663591,736654.315997
2014-08-04,799120.356044999,-0.31,GLD - 1.00,,621886.3213241,734367.75186
2014-08-05,798354.787944999,-0.096,GLD - 1.00,,621290.5461491,733664.221175
2014-08-06,809838.756044999,1.438,GLD - 1.00,,630227.5213241,744217.59186
2014-08-07,813092.058803,0.402,GLD - 1.00,,632759.1712521,747207.223584
2014-08-08,813155.861561,0.008,GLD - 1.00,,632808.8211801,747265.855308
2014-08-11,811688.672423999,-0.18,GLD - 1.00,,631667.0862881,745917.577722
2014-08-12,811880.036045,0.024,GLD - 1.00,,631816.0013241,746093.43186
2014-08-13,813219.619665999,0.165,None - 0.00,,632858.4363601,747324.445998
2014-08-14,813219.619665999,0,XIV - 0.55,,632858.4363601,747324.445998
2014-08-15,813010.659665999,-0.026,XIV - 1.00,,632695.8363601,747132.425998
2014-08-18,843220.659665999,3.716,XIV - 1.00,,656205.5763601,774895.415998
2014-08-19,851198.139665999,0.946,XIV - 1.00,,662413.5963601,782226.095998
2014-08-20,844740.859665999,-0.759,XIV - 1.00,,657388.3963601,776292.075998
2014-08-21,842271.769665999,-0.292,XIV - 1.00,,655466.8663601,774023.055998
2014-08-22,845310.809665999,0.361,XIV - 1.00,,657831.8263601,776815.855998
2014-08-25,854047.589665999,1.034,XIV - 1.00,,664631.0863601,784844.695998
2014-08-26,846831.009665999,-0.845,XIV - 1.00,,659015.0663601,778212.935998
2014-08-27,840943.179665999,-0.695,XIV - 1.00,,654433.2663601,772802.195998
2014-08-28,826697.679665999,-1.694,XIV - 1.00,,643347.5163601,759710.945998
2014-08-29,832396.779665999,0.689,XIV - 1.00,,647782.7163601,764948.345998
2014-09-02,827077.899665999,-0.639,XIV - 1.00,,643643.4763601,760060.385998
2014-09-03,836576.399665999,1.148,XIV - 0.55,,651035.4763601,768789.385998
2014-09-04,835427.229665999,-0.137,XIV - 1.00,,650141.1763601,767733.275998
2014-09-05,852352.359665999,2.026,XIV - 0.55,,663312.2863601,783286.915998
2014-09-08,851306.659665999,-0.123,XIV - 1.00,,662498.4863601,782325.915998
2014-09-09,828467.059665999,-2.683,XIV - 1.00,,644725.2863601,761336.715998
2014-09-10,833988.079665999,0.666,None - 0.00,,649021.9263601,766410.265998
2014-09-11,833988.079665999,0,XIV - 0.55,,649021.9263601,766410.265998
2014-09-12,823651.489665999,-1.239,XIV - 0.20,,640978.176360099,756911.215998
2014-09-15,819507.529665999,-0.503,GLD - 1.00,,637753.2963601,753103.135998
2014-09-16,820806.770179999,0.159,GLD - 1.00,,638764.302323099,754297.11485
2014-09-17,811985.743341999,-1.075,None - 0.00,,631900.207002099,746190.748566
2014-09-18,811985.743341999,0,XIV - 0.20,,631900.207002099,746190.748566
2014-09-19,811913.483341999,-0.009,XIV - 1.00,,631843.967002099,746124.348566
2014-09-22,783175.823341999,-3.539,XIV - 1.00,,609479.027002099,719714.448566
2014-09-23,754246.223341999,-3.694,XIV - 0.20,,586965.427002099,693128.848566
2014-09-24,758839.813341999,0.609,GLD - 1.00,,590540.477002099,697350.328566
2014-09-25,761021.907669999,0.288,GLD - 1.00,,592238.417026099,699355.624974
2014-09-26,758903.961251999,-0.278,GLD - 1.00,,590590.392032099,697409.609077
2014-09-29,758711.427669999,-0.025,GLD - 1.00,,590440.577026099,697232.674975
2014-09-30,753448.667669999,-0.694,GLD - 1.00,,586345.497026099,692396.314975
2014-10-01,757042.734833999,0.477,GLD - 1.00,,589142.687036099,695699.183179
2014-10-02,756850.201251999,-0.025,GLD - 1.00,,588992.872030099,695522.249077
2014-10-03,743179.880505999,-1.806,None - 0.00,,578355.667012099,682959.526771
2014-10-06,743179.880505999,0,XIV - 0.45,,578355.667012099,682959.526771
2014-10-07,720500.490505999,-3.052,GLD - 1.00,,560706.577012099,662120.096771
2014-10-08,727304.790505999,0.944,GLD - 1.00,,566001.277012099,668372.726771
2014-10-09,728346.708247999,0.143,GLD - 1.00,,566812.167472099,669330.155507
2014-10-10,728040.239860999,-0.042,GLD - 1.00,,566573.653162099,669048.538611
2014-10-13,733740.215989999,0.783,GLD - 1.00,,571009.757932099,674286.304243
2014-10-14,734169.169861999,0.058,GLD - 1.00,,571343.583163099,674680.538611
2014-10-15,736620.382117999,0.334,None - 0.00,,573251.192701099,676933.349875
2014-10-16,736620.382117999,0,GLD - 1.00,,573251.192701099,676933.349875
2014-10-17,735213.683769999,-0.191,GLD - 1.00,,572156.378421099,675640.503012
2014-10-20,740167.674349999,0.674,GLD - 1.00,,576012.002221099,680193.541117
2014-10-21,741513.157653999,0.182,GLD - 1.00,,577059.173661099,681429.907397
2014-10-22,737354.271537999,-0.561,GLD - 1.00,,573823.048902099,677608.301777
2014-10-23,732339.157653999,-0.68,GLD - 1.00,,569919.853662099,672999.087398
2014-10-24,731299.273770999,-0.142,GLD - 1.00,,569110.658422099,672043.523019
2014-10-27,729525.343770999,-0.243,GLD - 1.00,,567730.258422099,670413.433019
2014-10-28,729770.023770999,0.034,None - 0.00,,567920.658422099,670638.273019
2014-10-29,729770.023770999,0,XIV - 1.00,,567920.658422099,670638.273019
2014-10-30,727244.743770999,-0.346,XIV - 0.65,,565955.418422099,668317.593019
2014-10-31,738871.893770999,1.599,XIV - 0.45,,575003.668422099,679002.943019
2014-11-03,733614.613770999,-0.712,XIV - 0.45,,570912.308422099,674171.823019
2014-11-04,736172.323770999,0.349,XIV - 0.45,,572902.7484221,676522.173019
2014-11-05,740228.083770999,0.551,XIV - 0.45,,576058.948422099,680249.413019
2014-11-06,748378.243770999,1.101,XIV - 1.00,,582401.2484221,687739.243019
